,Subject,,26-14,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:15:16.217,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.400,Input,2,On1A2,,
5,0:00.410,Input,33,Off1A1,,
6,0:31.680,Input,1,On1A1,,
7,0:31.680,Exit,1,,1,
8,0:31.680,Entry,2,,,
9,0:31.685,Input,34,Off1A2,,
10,0:31.780,Input,2,On1A2,,
11,0:31.780,Exit,2,,2,
12,0:31.780,Entry,1,,,
13,0:31.790,Input,33,Off1A1,,
14,0:37.850,Input,1,On1A1,,
15,0:37.850,Exit,1,,1,
16,0:37.850,Entry,2,,,
17,0:37.855,Input,34,Off1A2,,
18,0:37.935,Input,2,On1A2,,
19,0:37.935,Exit,2,,2,
20,0:37.935,Entry,1,,,
21,0:37.950,Input,33,Off1A1,,
22,1:08.325,Input,1,On1A1,,
23,1:08.325,Exit,1,,1,
24,1:08.325,Entry,2,,,
25,1:08.330,Input,34,Off1A2,,
26,1:08.420,Input,2,On1A2,,
27,1:08.420,Exit,2,,2,
28,1:08.420,Entry,1,,,
29,1:08.430,Input,33,Off1A1,,
30,1:48.375,Input,1,On1A1,,
31,1:48.375,Exit,1,,1,
32,1:48.375,Entry,2,,,
33,1:48.380,Input,34,Off1A2,,
34,1:50.180,Input,2,On1A2,,
35,1:50.180,Exit,2,,2,
36,1:50.180,Entry,1,,,
37,1:50.195,Input,33,Off1A1,,
38,2:34.560,Input,1,On1A1,,
39,2:34.560,Exit,1,,1,
40,2:34.560,Entry,2,,,
41,2:34.565,Input,34,Off1A2,,
42,2:38.060,Input,2,On1A2,,
43,2:38.060,Exit,2,,2,
44,2:38.060,Entry,1,,,
45,2:38.075,Input,33,Off1A1,,
46,5:00.005,Exit,1,,Time,
47,5:00.005,Finish,,,,
