,Subject,,29-171,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:42:21.818,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:17.910,Input,1,On1A1,,
5,0:17.910,Exit,1,,1,
6,0:17.910,Entry,2,,,
7,0:17.915,Input,34,Off1A2,,
8,0:18.095,Input,2,On1A2,,
9,0:18.095,Exit,2,,2,
10,0:18.095,Entry,1,,,
11,0:18.110,Input,33,Off1A1,,
12,0:29.310,Input,1,On1A1,,
13,0:29.310,Exit,1,,1,
14,0:29.310,Entry,2,,,
15,0:29.315,Input,34,Off1A2,,
16,0:30.055,Input,2,On1A2,,
17,0:30.055,Exit,2,,2,
18,0:30.055,Entry,1,,,
19,0:30.070,Input,33,Off1A1,,
20,1:16.405,Input,1,On1A1,,
21,1:16.405,Exit,1,,1,
22,1:16.405,Entry,2,,,
23,1:16.410,Input,34,Off1A2,,
24,1:16.485,Input,2,On1A2,,
25,1:16.485,Exit,2,,2,
26,1:16.485,Entry,1,,,
27,1:16.500,Input,33,Off1A1,,
28,1:20.160,Input,1,On1A1,,
29,1:20.160,Exit,1,,1,
30,1:20.160,Entry,2,,,
31,1:20.165,Input,34,Off1A2,,
32,1:20.290,Input,2,On1A2,,
33,1:20.290,Exit,2,,2,
34,1:20.290,Entry,1,,,
35,1:20.305,Input,33,Off1A1,,
36,1:22.640,Input,1,On1A1,,
37,1:22.640,Exit,1,,1,
38,1:22.640,Entry,2,,,
39,1:22.645,Input,34,Off1A2,,
40,1:23.225,Input,2,On1A2,,
41,1:23.225,Exit,2,,2,
42,1:23.225,Entry,1,,,
43,1:23.240,Input,33,Off1A1,,
44,5:00.005,Exit,1,,Time,
45,5:00.005,Finish,,,,
