,Subject,,24-175,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:03:11.903,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.060,Input,2,On1A2,,
5,0:00.075,Input,33,Off1A1,,
6,0:04.215,Input,1,On1A1,,
7,0:04.215,Exit,1,,1,
8,0:04.215,Entry,2,,,
9,0:04.220,Input,34,Off1A2,,
10,0:04.800,Input,2,On1A2,,
11,0:04.800,Exit,2,,2,
12,0:04.800,Entry,1,,,
13,0:04.810,Input,33,Off1A1,,
14,0:40.010,Input,1,On1A1,,
15,0:40.010,Exit,1,,1,
16,0:40.010,Entry,2,,,
17,0:40.015,Input,34,Off1A2,,
18,0:40.105,Input,2,On1A2,,
19,0:40.105,Exit,2,,2,
20,0:40.105,Entry,1,,,
21,0:40.115,Input,33,Off1A1,,
22,0:48.335,Input,1,On1A1,,
23,0:48.335,Exit,1,,1,
24,0:48.335,Entry,2,,,
25,0:48.340,Input,34,Off1A2,,
26,0:48.845,Input,2,On1A2,,
27,0:48.845,Exit,2,,2,
28,0:48.845,Entry,1,,,
29,0:48.855,Input,33,Off1A1,,
30,1:07.770,Input,1,On1A1,,
31,1:07.770,Exit,1,,1,
32,1:07.770,Entry,2,,,
33,1:07.775,Input,34,Off1A2,,
34,1:07.935,Input,2,On1A2,,
35,1:07.935,Exit,2,,2,
36,1:07.935,Entry,1,,,
37,1:07.950,Input,33,Off1A1,,
38,3:28.675,Input,1,On1A1,,
39,3:28.675,Exit,1,,1,
40,3:28.675,Entry,2,,,
41,3:28.680,Input,34,Off1A2,,
42,3:29.150,Input,2,On1A2,,
43,3:29.150,Exit,2,,2,
44,3:29.150,Entry,1,,,
45,3:29.165,Input,33,Off1A1,,
46,5:00.005,Exit,1,,Time,
47,5:00.005,Finish,,,,
