,Subject,,28-50,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:36:16.683,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:03.945,Input,1,On1A1,,
5,0:03.945,Exit,1,,1,
6,0:03.945,Entry,2,,,
7,0:03.950,Input,34,Off1A2,,
8,0:04.045,Input,2,On1A2,,
9,0:04.045,Exit,2,,2,
10,0:04.045,Entry,1,,,
11,0:04.055,Input,33,Off1A1,,
12,0:05.350,Input,1,On1A1,,
13,0:05.350,Exit,1,,1,
14,0:05.350,Entry,2,,,
15,0:05.355,Input,34,Off1A2,,
16,0:13.490,Input,2,On1A2,,
17,0:13.490,Exit,2,,2,
18,0:13.490,Entry,1,,,
19,0:13.505,Input,33,Off1A1,,
20,2:04.670,Input,1,On1A1,,
21,2:04.670,Exit,1,,1,
22,2:04.670,Entry,2,,,
23,2:04.675,Input,34,Off1A2,,
24,2:04.765,Input,2,On1A2,,
25,2:04.765,Exit,2,,2,
26,2:04.765,Entry,1,,,
27,2:04.775,Input,33,Off1A1,,
28,4:30.965,Input,1,On1A1,,
29,4:30.965,Exit,1,,1,
30,4:30.965,Entry,2,,,
31,4:30.970,Input,34,Off1A2,,
32,4:33.095,Input,2,On1A2,,
33,4:33.095,Exit,2,,2,
34,4:33.095,Entry,1,,,
35,4:33.110,Input,33,Off1A1,,
36,5:00.005,Exit,1,,Time,
37,5:00.005,Finish,,,,
