,Subject,,30-23,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:54:40.451,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Input,33,Off1A1,,
3,0:00.005,Exit,0,Ready,Time,
4,0:00.005,Entry,1,,,
5,0:17.710,Input,1,On1A1,,
6,0:17.710,Exit,1,,1,
7,0:17.710,Entry,2,,,
8,0:17.715,Input,34,Off1A2,,
9,0:27.130,Input,2,On1A2,,
10,0:27.130,Exit,2,,2,
11,0:27.130,Entry,1,,,
12,0:27.145,Input,33,Off1A1,,
13,1:20.450,Input,1,On1A1,,
14,1:20.450,Exit,1,,1,
15,1:20.450,Entry,2,,,
16,1:20.455,Input,34,Off1A2,,
17,1:20.515,Input,2,On1A2,,
18,1:20.515,Exit,2,,2,
19,1:20.515,Entry,1,,,
20,1:20.530,Input,33,Off1A1,,
21,5:00.005,Exit,1,,Time,
22,5:00.005,Finish,,,,
