,Subject,,20-127,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,02:31:02.322,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:59.265,Input,1,On1A1,,
5,0:59.265,Exit,1,,1,
6,0:59.265,Entry,2,,,
7,0:59.270,Input,34,Off1A2,,
8,0:59.760,Input,2,On1A2,,
9,0:59.760,Exit,2,,2,
10,0:59.760,Entry,1,,,
11,0:59.770,Input,33,Off1A1,,
12,1:00.840,Input,1,On1A1,,
13,1:00.840,Exit,1,,1,
14,1:00.840,Entry,2,,,
15,1:00.845,Input,34,Off1A2,,
16,1:06.385,Input,2,On1A2,,
17,1:06.385,Exit,2,,2,
18,1:06.385,Entry,1,,,
19,1:06.400,Input,33,Off1A1,,
20,4:53.990,Input,1,On1A1,,
21,4:53.990,Exit,1,,1,
22,4:53.990,Entry,2,,,
23,4:53.995,Input,34,Off1A2,,
24,4:54.075,Input,2,On1A2,,
25,4:54.075,Exit,2,,2,
26,4:54.075,Entry,1,,,
27,4:54.090,Input,33,Off1A1,,
28,5:00.005,Exit,1,,Time,
29,5:00.005,Finish,,,,
