,Subject,,14-43,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:48:54.232,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.355,Input,2,On1A2,,
5,0:00.370,Input,33,Off1A1,,
6,0:59.190,Input,1,On1A1,,
7,0:59.190,Exit,1,,1,
8,0:59.190,Entry,2,,,
9,0:59.195,Input,34,Off1A2,,
10,0:59.235,Input,2,On1A2,,
11,0:59.235,Exit,2,,2,
12,0:59.235,Entry,1,,,
13,0:59.245,Input,33,Off1A1,,
14,2:45.070,Input,1,On1A1,,
15,2:45.070,Exit,1,,1,
16,2:45.070,Entry,2,,,
17,2:45.075,Input,34,Off1A2,,
18,2:45.205,Input,2,On1A2,,
19,2:45.205,Exit,2,,2,
20,2:45.205,Entry,1,,,
21,2:45.215,Input,33,Off1A1,,
22,2:51.440,Input,1,On1A1,,
23,2:51.440,Exit,1,,1,
24,2:51.440,Entry,2,,,
25,2:51.445,Input,34,Off1A2,,
26,2:52.805,Input,2,On1A2,,
27,2:52.805,Exit,2,,2,
28,2:52.805,Entry,1,,,
29,2:52.820,Input,33,Off1A1,,
30,5:00.005,Exit,1,,Time,
31,5:00.005,Finish,,,,
