,Subject,,18-49,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,00:13:29.898,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:25.090,Input,1,On1A1,,
5,0:25.090,Exit,1,,1,
6,0:25.090,Entry,2,,,
7,0:25.095,Input,34,Off1A2,,
8,0:25.310,Input,2,On1A2,,
9,0:25.310,Exit,2,,2,
10,0:25.310,Entry,1,,,
11,0:25.320,Input,33,Off1A1,,
12,0:29.475,Input,1,On1A1,,
13,0:29.475,Exit,1,,1,
14,0:29.475,Entry,2,,,
15,0:29.480,Input,34,Off1A2,,
16,0:29.570,Input,2,On1A2,,
17,0:29.570,Exit,2,,2,
18,0:29.570,Entry,1,,,
19,0:29.585,Input,33,Off1A1,,
20,0:57.015,Input,1,On1A1,,
21,0:57.015,Exit,1,,1,
22,0:57.015,Entry,2,,,
23,0:57.020,Input,34,Off1A2,,
24,0:58.225,Input,2,On1A2,,
25,0:58.225,Exit,2,,2,
26,0:58.225,Entry,1,,,
27,0:58.235,Input,33,Off1A1,,
28,1:56.555,Input,1,On1A1,,
29,1:56.555,Exit,1,,1,
30,1:56.555,Entry,2,,,
31,1:56.560,Input,34,Off1A2,,
32,1:57.470,Input,2,On1A2,,
33,1:57.470,Exit,2,,2,
34,1:57.470,Entry,1,,,
35,1:57.480,Input,33,Off1A1,,
36,2:29.315,Input,1,On1A1,,
37,2:29.315,Exit,1,,1,
38,2:29.315,Entry,2,,,
39,2:29.320,Input,34,Off1A2,,
40,2:29.825,Input,2,On1A2,,
41,2:29.825,Exit,2,,2,
42,2:29.825,Entry,1,,,
43,2:29.840,Input,33,Off1A1,,
44,5:00.005,Exit,1,,Time,
45,5:00.005,Finish,,,,
