,Subject,,32-169,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,04:07:39.667,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:19.950,Input,1,On1A1,,
5,0:19.950,Exit,1,,1,
6,0:19.950,Entry,2,,,
7,0:19.955,Input,34,Off1A2,,
8,0:20.035,Input,2,On1A2,,
9,0:20.035,Exit,2,,2,
10,0:20.035,Entry,1,,,
11,0:20.045,Input,33,Off1A1,,
12,0:21.860,Input,1,On1A1,,
13,0:21.860,Exit,1,,1,
14,0:21.860,Entry,2,,,
15,0:21.865,Input,34,Off1A2,,
16,0:23.920,Input,2,On1A2,,
17,0:23.920,Exit,2,,2,
18,0:23.920,Entry,1,,,
19,0:23.930,Input,33,Off1A1,,
20,1:38.310,Input,1,On1A1,,
21,1:38.310,Exit,1,,1,
22,1:38.310,Entry,2,,,
23,1:38.315,Input,34,Off1A2,,
24,1:39.400,Input,2,On1A2,,
25,1:39.400,Exit,2,,2,
26,1:39.400,Entry,1,,,
27,1:39.415,Input,33,Off1A1,,
28,5:00.005,Exit,1,,Time,
29,5:00.005,Finish,,,,
