,Subject,,3-108,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,22:27:05.031,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:15.460,Input,1,On1A1,,
5,0:15.460,Exit,1,,1,
6,0:15.460,Entry,2,,,
7,0:15.465,Input,34,Off1A2,,
8,0:16.435,Input,2,On1A2,,
9,0:16.435,Exit,2,,2,
10,0:16.435,Entry,1,,,
11,0:16.450,Input,33,Off1A1,,
12,1:51.835,Input,1,On1A1,,
13,1:51.835,Exit,1,,1,
14,1:51.835,Entry,2,,,
15,1:51.840,Input,34,Off1A2,,
16,1:53.535,Input,2,On1A2,,
17,1:53.535,Exit,2,,2,
18,1:53.535,Entry,1,,,
19,1:53.550,Input,33,Off1A1,,
20,4:13.320,Input,1,On1A1,,
21,4:13.320,Exit,1,,1,
22,4:13.320,Entry,2,,,
23,4:13.325,Input,34,Off1A2,,
24,4:13.360,Input,2,On1A2,,
25,4:13.360,Exit,2,,2,
26,4:13.360,Entry,1,,,
27,4:13.370,Input,33,Off1A1,,
28,5:00.005,Exit,1,,Time,
29,5:00.005,Finish,,,,
