,Subject,,7-112,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,22:58:49.293,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:06.615,Input,1,On1A1,,
5,0:06.615,Exit,1,,1,
6,0:06.615,Entry,2,,,
7,0:06.620,Input,34,Off1A2,,
8,0:07.165,Input,2,On1A2,,
9,0:07.165,Exit,2,,2,
10,0:07.165,Entry,1,,,
11,0:07.175,Input,33,Off1A1,,
12,0:18.060,Input,1,On1A1,,
13,0:18.060,Exit,1,,1,
14,0:18.060,Entry,2,,,
15,0:18.065,Input,34,Off1A2,,
16,0:18.380,Input,2,On1A2,,
17,0:18.380,Exit,2,,2,
18,0:18.380,Entry,1,,,
19,0:18.395,Input,33,Off1A1,,
20,0:26.450,Input,1,On1A1,,
21,0:26.450,Exit,1,,1,
22,0:26.450,Entry,2,,,
23,0:26.455,Input,34,Off1A2,,
24,0:27.265,Input,2,On1A2,,
25,0:27.265,Exit,2,,2,
26,0:27.265,Entry,1,,,
27,0:27.280,Input,33,Off1A1,,
28,0:28.725,Input,1,On1A1,,
29,0:28.725,Exit,1,,1,
30,0:28.725,Entry,2,,,
31,0:28.730,Input,34,Off1A2,,
32,0:28.815,Input,2,On1A2,,
33,0:28.815,Exit,2,,2,
34,0:28.815,Entry,1,,,
35,0:28.825,Input,33,Off1A1,,
36,1:17.170,Input,1,On1A1,,
37,1:17.170,Exit,1,,1,
38,1:17.170,Entry,2,,,
39,1:17.175,Input,34,Off1A2,,
40,1:17.285,Input,2,On1A2,,
41,1:17.285,Exit,2,,2,
42,1:17.285,Entry,1,,,
43,1:17.300,Input,33,Off1A1,,
44,1:17.860,Input,1,On1A1,,
45,1:17.860,Exit,1,,1,
46,1:17.860,Entry,2,,,
47,1:17.865,Input,34,Off1A2,,
48,1:17.965,Input,2,On1A2,,
49,1:17.965,Exit,2,,2,
50,1:17.965,Entry,1,,,
51,1:17.980,Input,33,Off1A1,,
52,1:36.820,Input,1,On1A1,,
53,1:36.820,Exit,1,,1,
54,1:36.820,Entry,2,,,
55,1:36.825,Input,34,Off1A2,,
56,1:38.470,Input,2,On1A2,,
57,1:38.470,Exit,2,,2,
58,1:38.470,Entry,1,,,
59,1:38.480,Input,33,Off1A1,,
60,1:43.050,Input,1,On1A1,,
61,1:43.050,Exit,1,,1,
62,1:43.050,Entry,2,,,
63,1:43.055,Input,34,Off1A2,,
64,1:43.300,Input,2,On1A2,,
65,1:43.300,Exit,2,,2,
66,1:43.300,Entry,1,,,
67,1:43.310,Input,33,Off1A1,,
68,4:25.335,Input,1,On1A1,,
69,4:25.335,Exit,1,,1,
70,4:25.335,Entry,2,,,
71,4:25.340,Input,34,Off1A2,,
72,4:26.460,Input,2,On1A2,,
73,4:26.460,Exit,2,,2,
74,4:26.460,Entry,1,,,
75,4:26.470,Input,33,Off1A1,,
76,4:27.600,Input,1,On1A1,,
77,4:27.600,Exit,1,,1,
78,4:27.600,Entry,2,,,
79,4:27.605,Input,34,Off1A2,,
80,4:28.650,Input,2,On1A2,,
81,4:28.650,Exit,2,,2,
82,4:28.650,Entry,1,,,
83,4:28.665,Input,33,Off1A1,,
84,4:29.420,Input,1,On1A1,,
85,4:29.420,Exit,1,,1,
86,4:29.420,Entry,2,,,
87,4:29.425,Input,34,Off1A2,,
88,4:29.530,Input,2,On1A2,,
89,4:29.530,Exit,2,,2,
90,4:29.530,Entry,1,,,
91,4:29.540,Input,33,Off1A1,,
92,4:31.995,Input,1,On1A1,,
93,4:31.995,Exit,1,,1,
94,4:31.995,Entry,2,,,
95,4:32.000,Input,34,Off1A2,,
96,4:32.085,Input,2,On1A2,,
97,4:32.085,Exit,2,,2,
98,4:32.085,Entry,1,,,
99,4:32.095,Input,33,Off1A1,,
100,4:36.075,Input,1,On1A1,,
101,4:36.075,Exit,1,,1,
102,4:36.075,Entry,2,,,
103,4:36.080,Input,34,Off1A2,,
104,4:36.880,Input,2,On1A2,,
105,4:36.880,Exit,2,,2,
106,4:36.880,Entry,1,,,
107,4:36.895,Input,33,Off1A1,,
108,5:00.005,Exit,1,,Time,
109,5:00.005,Finish,,,,
