,Subject,,27-141,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:30:03.303,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.255,Input,2,On1A2,,
5,0:00.270,Input,33,Off1A1,,
6,0:04.210,Input,1,On1A1,,
7,0:04.210,Exit,1,,1,
8,0:04.210,Entry,2,,,
9,0:04.215,Input,34,Off1A2,,
10,0:17.430,Input,2,On1A2,,
11,0:17.430,Exit,2,,2,
12,0:17.430,Entry,1,,,
13,0:17.440,Input,33,Off1A1,,
14,3:11.405,Input,1,On1A1,,
15,3:11.405,Exit,1,,1,
16,3:11.405,Entry,2,,,
17,3:11.410,Input,34,Off1A2,,
18,3:12.385,Input,2,On1A2,,
19,3:12.385,Exit,2,,2,
20,3:12.385,Entry,1,,,
21,3:12.400,Input,33,Off1A1,,
22,5:00.005,Exit,1,,Time,
23,5:00.005,Finish,,,,
