,Subject,,38-18,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,03:21:41.479,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:08.885,Input,1,On1A1,,
5,0:08.885,Exit,1,,1,
6,0:08.885,Entry,2,,,
7,0:08.890,Input,34,Off1A2,,
8,0:09.570,Input,2,On1A2,,
9,0:09.570,Exit,2,,2,
10,0:09.570,Entry,1,,,
11,0:09.585,Input,33,Off1A1,,
12,0:46.865,Input,1,On1A1,,
13,0:46.865,Exit,1,,1,
14,0:46.865,Entry,2,,,
15,0:46.870,Input,34,Off1A2,,
16,0:48.385,Input,2,On1A2,,
17,0:48.385,Exit,2,,2,
18,0:48.385,Entry,1,,,
19,0:48.395,Input,33,Off1A1,,
20,1:28.930,Input,1,On1A1,,
21,1:28.930,Exit,1,,1,
22,1:28.930,Entry,2,,,
23,1:28.935,Input,34,Off1A2,,
24,1:29.025,Input,2,On1A2,,
25,1:29.025,Exit,2,,2,
26,1:29.025,Entry,1,,,
27,1:29.040,Input,33,Off1A1,,
28,1:30.975,Input,1,On1A1,,
29,1:30.975,Exit,1,,1,
30,1:30.975,Entry,2,,,
31,1:30.980,Input,34,Off1A2,,
32,1:32.125,Input,2,On1A2,,
33,1:32.125,Exit,2,,2,
34,1:32.125,Entry,1,,,
35,1:32.140,Input,33,Off1A1,,
36,5:00.005,Exit,1,,Time,
37,5:00.005,Finish,,,,
