,Subject,,2-97,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,22:20:48.169,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:24.790,Input,1,On1A1,,
5,0:24.790,Exit,1,,1,
6,0:24.790,Entry,2,,,
7,0:24.795,Input,34,Off1A2,,
8,0:29.640,Input,2,On1A2,,
9,0:29.640,Exit,2,,2,
10,0:29.640,Entry,1,,,
11,0:29.655,Input,33,Off1A1,,
12,1:12.920,Input,1,On1A1,,
13,1:12.920,Exit,1,,1,
14,1:12.920,Entry,2,,,
15,1:12.925,Input,34,Off1A2,,
16,1:15.890,Input,2,On1A2,,
17,1:15.890,Exit,2,,2,
18,1:15.890,Entry,1,,,
19,1:15.905,Input,33,Off1A1,,
20,2:04.605,Input,1,On1A1,,
21,2:04.605,Exit,1,,1,
22,2:04.605,Entry,2,,,
23,2:04.610,Input,34,Off1A2,,
24,2:05.075,Input,2,On1A2,,
25,2:05.075,Exit,2,,2,
26,2:05.075,Entry,1,,,
27,2:05.090,Input,33,Off1A1,,
28,2:09.595,Input,1,On1A1,,
29,2:09.595,Exit,1,,1,
30,2:09.595,Entry,2,,,
31,2:09.600,Input,34,Off1A2,,
32,2:09.680,Input,2,On1A2,,
33,2:09.680,Exit,2,,2,
34,2:09.680,Entry,1,,,
35,2:09.695,Input,33,Off1A1,,
36,2:23.515,Input,1,On1A1,,
37,2:23.515,Exit,1,,1,
38,2:23.515,Entry,2,,,
39,2:23.520,Input,34,Off1A2,,
40,2:25.260,Input,2,On1A2,,
41,2:25.260,Exit,2,,2,
42,2:25.260,Entry,1,,,
43,2:25.270,Input,33,Off1A1,,
44,2:25.435,Input,1,On1A1,,
45,2:25.435,Exit,1,,1,
46,2:25.435,Entry,2,,,
47,2:25.440,Input,34,Off1A2,,
48,2:25.740,Input,2,On1A2,,
49,2:25.740,Exit,2,,2,
50,2:25.740,Entry,1,,,
51,2:25.750,Input,33,Off1A1,,
52,2:25.790,Input,1,On1A1,,
53,2:25.790,Exit,1,,1,
54,2:25.790,Entry,2,,,
55,2:25.795,Input,34,Off1A2,,
56,2:25.830,Input,2,On1A2,,
57,2:25.830,Exit,2,,2,
58,2:25.830,Entry,1,,,
59,2:25.845,Input,33,Off1A1,,
60,2:26.465,Input,1,On1A1,,
61,2:26.465,Exit,1,,1,
62,2:26.465,Entry,2,,,
63,2:26.470,Input,34,Off1A2,,
64,2:26.555,Input,2,On1A2,,
65,2:26.555,Exit,2,,2,
66,2:26.555,Entry,1,,,
67,2:26.570,Input,33,Off1A1,,
68,5:00.005,Exit,1,,Time,
69,5:00.005,Finish,,,,
