,Subject,,21-165,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,02:37:19.033,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:03.255,Input,1,On1A1,,
5,0:03.255,Exit,1,,1,
6,0:03.255,Entry,2,,,
7,0:03.260,Input,34,Off1A2,,
8,0:04.310,Input,2,On1A2,,
9,0:04.310,Exit,2,,2,
10,0:04.310,Entry,1,,,
11,0:04.325,Input,33,Off1A1,,
12,0:20.210,Input,1,On1A1,,
13,0:20.210,Exit,1,,1,
14,0:20.210,Entry,2,,,
15,0:20.215,Input,34,Off1A2,,
16,0:20.760,Input,2,On1A2,,
17,0:20.760,Exit,2,,2,
18,0:20.760,Entry,1,,,
19,0:20.770,Input,33,Off1A1,,
20,0:29.415,Input,1,On1A1,,
21,0:29.415,Exit,1,,1,
22,0:29.415,Entry,2,,,
23,0:29.420,Input,34,Off1A2,,
24,0:32.420,Input,2,On1A2,,
25,0:32.420,Exit,2,,2,
26,0:32.420,Entry,1,,,
27,0:32.435,Input,33,Off1A1,,
28,1:11.840,Input,1,On1A1,,
29,1:11.840,Exit,1,,1,
30,1:11.840,Entry,2,,,
31,1:11.845,Input,34,Off1A2,,
32,1:11.975,Input,2,On1A2,,
33,1:11.975,Exit,2,,2,
34,1:11.975,Entry,1,,,
35,1:11.990,Input,33,Off1A1,,
36,1:16.135,Input,1,On1A1,,
37,1:16.135,Exit,1,,1,
38,1:16.135,Entry,2,,,
39,1:16.140,Input,34,Off1A2,,
40,1:17.905,Input,2,On1A2,,
41,1:17.905,Exit,2,,2,
42,1:17.905,Entry,1,,,
43,1:17.915,Input,33,Off1A1,,
44,5:00.005,Exit,1,,Time,
45,5:00.005,Finish,,,,
