,Subject,,33-153,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,04:13:41.292,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:14.310,Input,1,On1A1,,
5,0:14.310,Exit,1,,1,
6,0:14.310,Entry,2,,,
7,0:14.315,Input,34,Off1A2,,
8,0:14.420,Input,2,On1A2,,
9,0:14.420,Exit,2,,2,
10,0:14.420,Entry,1,,,
11,0:14.430,Input,33,Off1A1,,
12,0:17.650,Input,1,On1A1,,
13,0:17.650,Exit,1,,1,
14,0:17.650,Entry,2,,,
15,0:17.655,Input,34,Off1A2,,
16,0:18.290,Input,2,On1A2,,
17,0:18.290,Exit,2,,2,
18,0:18.290,Entry,1,,,
19,0:18.300,Input,33,Off1A1,,
20,0:50.595,Input,1,On1A1,,
21,0:50.595,Exit,1,,1,
22,0:50.595,Entry,2,,,
23,0:50.600,Input,34,Off1A2,,
24,0:50.790,Input,2,On1A2,,
25,0:50.790,Exit,2,,2,
26,0:50.790,Entry,1,,,
27,0:50.805,Input,33,Off1A1,,
28,1:34.085,Input,1,On1A1,,
29,1:34.085,Exit,1,,1,
30,1:34.085,Entry,2,,,
31,1:34.090,Input,34,Off1A2,,
32,1:34.155,Input,2,On1A2,,
33,1:34.155,Exit,2,,2,
34,1:34.155,Entry,1,,,
35,1:34.165,Input,33,Off1A1,,
36,1:35.710,Input,1,On1A1,,
37,1:35.710,Exit,1,,1,
38,1:35.710,Entry,2,,,
39,1:35.715,Input,34,Off1A2,,
40,1:35.780,Input,2,On1A2,,
41,1:35.780,Exit,2,,2,
42,1:35.780,Entry,1,,,
43,1:35.795,Input,33,Off1A1,,
44,1:39.035,Input,1,On1A1,,
45,1:39.035,Exit,1,,1,
46,1:39.035,Entry,2,,,
47,1:39.040,Input,34,Off1A2,,
48,1:39.240,Input,2,On1A2,,
49,1:39.240,Exit,2,,2,
50,1:39.240,Entry,1,,,
51,1:39.255,Input,33,Off1A1,,
52,5:00.005,Exit,1,,Time,
53,5:00.005,Finish,,,,
