,Subject,,1-30,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,04:33:14.536,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.455,Input,2,On1A2,,
5,0:00.470,Input,33,Off1A1,,
6,0:18.480,Input,1,On1A1,,
7,0:18.480,Exit,1,,1,
8,0:18.480,Entry,2,,,
9,0:18.485,Input,34,Off1A2,,
10,0:21.890,Input,2,On1A2,,
11,0:21.890,Exit,2,,2,
12,0:21.890,Entry,1,,,
13,0:21.905,Input,33,Off1A1,,
14,0:23.425,Input,1,On1A1,,
15,0:23.425,Exit,1,,1,
16,0:23.425,Entry,2,,,
17,0:23.430,Input,34,Off1A2,,
18,0:24.630,Input,2,On1A2,,
19,0:24.630,Exit,2,,2,
20,0:24.630,Entry,1,,,
21,0:24.640,Input,33,Off1A1,,
22,0:37.080,Input,1,On1A1,,
23,0:37.080,Exit,1,,1,
24,0:37.080,Entry,2,,,
25,0:37.085,Input,34,Off1A2,,
26,0:38.695,Input,2,On1A2,,
27,0:38.695,Exit,2,,2,
28,0:38.695,Entry,1,,,
29,0:38.705,Input,33,Off1A1,,
30,1:44.515,Input,1,On1A1,,
31,1:44.515,Exit,1,,1,
32,1:44.515,Entry,2,,,
33,1:44.520,Input,34,Off1A2,,
34,1:44.685,Input,2,On1A2,,
35,1:44.685,Exit,2,,2,
36,1:44.685,Entry,1,,,
37,1:44.700,Input,33,Off1A1,,
38,3:40.080,Input,1,On1A1,,
39,3:40.080,Exit,1,,1,
40,3:40.080,Entry,2,,,
41,3:40.085,Input,34,Off1A2,,
42,3:41.305,Input,2,On1A2,,
43,3:41.305,Exit,2,,2,
44,3:41.305,Entry,1,,,
45,3:41.315,Input,33,Off1A1,,
46,5:00.005,Exit,1,,Time,
47,5:00.005,Finish,,,,
