,Subject,,34-160,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,04:19:49.352,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:05.145,Input,1,On1A1,,
5,0:05.145,Exit,1,,1,
6,0:05.145,Entry,2,,,
7,0:05.150,Input,34,Off1A2,,
8,0:05.400,Input,2,On1A2,,
9,0:05.400,Exit,2,,2,
10,0:05.400,Entry,1,,,
11,0:05.410,Input,33,Off1A1,,
12,0:14.715,Input,1,On1A1,,
13,0:14.715,Exit,1,,1,
14,0:14.715,Entry,2,,,
15,0:14.720,Input,34,Off1A2,,
16,0:15.745,Input,2,On1A2,,
17,0:15.745,Exit,2,,2,
18,0:15.745,Entry,1,,,
19,0:15.755,Input,33,Off1A1,,
20,0:37.285,Input,1,On1A1,,
21,0:37.285,Exit,1,,1,
22,0:37.285,Entry,2,,,
23,0:37.290,Input,34,Off1A2,,
24,0:37.450,Input,2,On1A2,,
25,0:37.450,Exit,2,,2,
26,0:37.450,Entry,1,,,
27,0:37.465,Input,33,Off1A1,,
28,0:55.145,Input,1,On1A1,,
29,0:55.145,Exit,1,,1,
30,0:55.145,Entry,2,,,
31,0:55.150,Input,34,Off1A2,,
32,0:55.240,Input,2,On1A2,,
33,0:55.240,Exit,2,,2,
34,0:55.240,Entry,1,,,
35,0:55.255,Input,33,Off1A1,,
36,1:32.650,Input,1,On1A1,,
37,1:32.650,Exit,1,,1,
38,1:32.650,Entry,2,,,
39,1:32.655,Input,34,Off1A2,,
40,1:32.725,Input,2,On1A2,,
41,1:32.725,Exit,2,,2,
42,1:32.725,Entry,1,,,
43,1:32.740,Input,33,Off1A1,,
44,1:35.105,Input,1,On1A1,,
45,1:35.105,Exit,1,,1,
46,1:35.105,Entry,2,,,
47,1:35.110,Input,34,Off1A2,,
48,1:35.210,Input,2,On1A2,,
49,1:35.210,Exit,2,,2,
50,1:35.210,Entry,1,,,
51,1:35.225,Input,33,Off1A1,,
52,1:37.365,Input,1,On1A1,,
53,1:37.365,Exit,1,,1,
54,1:37.365,Entry,2,,,
55,1:37.370,Input,34,Off1A2,,
56,1:39.130,Input,2,On1A2,,
57,1:39.130,Exit,2,,2,
58,1:39.130,Entry,1,,,
59,1:39.145,Input,33,Off1A1,,
60,5:00.005,Exit,1,,Time,
61,5:00.005,Finish,,,,
