,Subject,,39-134,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,04:26:37.638,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:05.390,Input,1,On1A1,,
5,0:05.390,Exit,1,,1,
6,0:05.390,Entry,2,,,
7,0:05.395,Input,34,Off1A2,,
8,0:05.500,Input,2,On1A2,,
9,0:05.500,Exit,2,,2,
10,0:05.500,Entry,1,,,
11,0:05.515,Input,33,Off1A1,,
12,0:14.550,Input,1,On1A1,,
13,0:14.550,Exit,1,,1,
14,0:14.550,Entry,2,,,
15,0:14.555,Input,34,Off1A2,,
16,0:14.625,Input,2,On1A2,,
17,0:14.625,Exit,2,,2,
18,0:14.625,Entry,1,,,
19,0:14.635,Input,33,Off1A1,,
20,0:17.990,Input,1,On1A1,,
21,0:17.990,Exit,1,,1,
22,0:17.990,Entry,2,,,
23,0:17.995,Input,34,Off1A2,,
24,0:18.590,Input,2,On1A2,,
25,0:18.590,Exit,2,,2,
26,0:18.590,Entry,1,,,
27,0:18.605,Input,33,Off1A1,,
28,0:21.075,Input,1,On1A1,,
29,0:21.075,Exit,1,,1,
30,0:21.075,Entry,2,,,
31,0:21.080,Input,34,Off1A2,,
32,0:22.155,Input,2,On1A2,,
33,0:22.155,Exit,2,,2,
34,0:22.155,Entry,1,,,
35,0:22.170,Input,33,Off1A1,,
36,0:47.450,Input,1,On1A1,,
37,0:47.450,Exit,1,,1,
38,0:47.450,Entry,2,,,
39,0:47.455,Input,34,Off1A2,,
40,0:49.070,Input,2,On1A2,,
41,0:49.070,Exit,2,,2,
42,0:49.070,Entry,1,,,
43,0:49.085,Input,33,Off1A1,,
44,3:05.160,Input,1,On1A1,,
45,3:05.160,Exit,1,,1,
46,3:05.160,Entry,2,,,
47,3:05.165,Input,34,Off1A2,,
48,3:05.310,Input,2,On1A2,,
49,3:05.310,Exit,2,,2,
50,3:05.310,Entry,1,,,
51,3:05.320,Input,33,Off1A1,,
52,3:07.595,Input,1,On1A1,,
53,3:07.595,Exit,1,,1,
54,3:07.595,Entry,2,,,
55,3:07.600,Input,34,Off1A2,,
56,3:07.755,Input,2,On1A2,,
57,3:07.755,Exit,2,,2,
58,3:07.755,Entry,1,,,
59,3:07.765,Input,33,Off1A1,,
60,5:00.005,Exit,1,,Time,
61,5:00.005,Finish,,,,
