,Subject,,10-101,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:18:01.382,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,1:08.150,Input,1,On1A1,,
5,1:08.150,Exit,1,,1,
6,1:08.150,Entry,2,,,
7,1:08.155,Input,34,Off1A2,,
8,1:09.445,Input,2,On1A2,,
9,1:09.445,Exit,2,,2,
10,1:09.445,Entry,1,,,
11,1:09.460,Input,33,Off1A1,,
12,1:24.065,Input,1,On1A1,,
13,1:24.065,Exit,1,,1,
14,1:24.065,Entry,2,,,
15,1:24.070,Input,34,Off1A2,,
16,1:25.845,Input,2,On1A2,,
17,1:25.845,Exit,2,,2,
18,1:25.845,Entry,1,,,
19,1:25.860,Input,33,Off1A1,,
20,5:00.005,Exit,1,,Time,
21,5:00.005,Finish,,,,
