,Subject,,35-41,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,22:39:24.316,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:26.645,Input,1,On1A1,,
5,0:26.645,Exit,1,,1,
6,0:26.645,Entry,2,,,
7,0:26.650,Input,34,Off1A2,,
8,0:27.080,Input,2,On1A2,,
9,0:27.080,Exit,2,,2,
10,0:27.080,Entry,1,,,
11,0:27.095,Input,33,Off1A1,,
12,0:29.120,Input,1,On1A1,,
13,0:29.120,Exit,1,,1,
14,0:29.120,Entry,2,,,
15,0:29.125,Input,34,Off1A2,,
16,0:29.160,Input,2,On1A2,,
17,0:29.160,Exit,2,,2,
18,0:29.160,Entry,1,,,
19,0:29.170,Input,33,Off1A1,,
20,0:29.615,Input,1,On1A1,,
21,0:29.615,Exit,1,,1,
22,0:29.615,Entry,2,,,
23,0:29.620,Input,34,Off1A2,,
24,0:30.565,Input,2,On1A2,,
25,0:30.565,Exit,2,,2,
26,0:30.565,Entry,1,,,
27,0:30.580,Input,33,Off1A1,,
28,1:34.800,Input,1,On1A1,,
29,1:34.800,Exit,1,,1,
30,1:34.800,Entry,2,,,
31,1:34.805,Input,34,Off1A2,,
32,1:37.445,Input,2,On1A2,,
33,1:37.445,Exit,2,,2,
34,1:37.445,Entry,1,,,
35,1:37.455,Input,33,Off1A1,,
36,5:00.005,Exit,1,,Time,
37,5:00.005,Finish,,,,
