,Subject,,5-54,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,22:46:31.737,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.270,Input,2,On1A2,,
5,0:00.280,Input,33,Off1A1,,
6,0:24.350,Input,1,On1A1,,
7,0:24.350,Exit,1,,1,
8,0:24.350,Entry,2,,,
9,0:24.355,Input,34,Off1A2,,
10,0:24.475,Input,2,On1A2,,
11,0:24.475,Exit,2,,2,
12,0:24.475,Entry,1,,,
13,0:24.485,Input,33,Off1A1,,
14,0:35.535,Input,1,On1A1,,
15,0:35.535,Exit,1,,1,
16,0:35.535,Entry,2,,,
17,0:35.540,Input,34,Off1A2,,
18,0:36.780,Input,2,On1A2,,
19,0:36.780,Exit,2,,2,
20,0:36.780,Entry,1,,,
21,0:36.795,Input,33,Off1A1,,
22,1:06.725,Input,1,On1A1,,
23,1:06.725,Exit,1,,1,
24,1:06.725,Entry,2,,,
25,1:06.730,Input,34,Off1A2,,
26,1:10.525,Input,2,On1A2,,
27,1:10.525,Exit,2,,2,
28,1:10.525,Entry,1,,,
29,1:10.535,Input,33,Off1A1,,
30,5:00.005,Exit,1,,Time,
31,5:00.005,Finish,,,,
