,Subject,,11-70,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:24:18.693,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:07.435,Input,1,On1A1,,
5,0:07.435,Exit,1,,1,
6,0:07.435,Entry,2,,,
7,0:07.440,Input,34,Off1A2,,
8,0:07.540,Input,2,On1A2,,
9,0:07.540,Exit,2,,2,
10,0:07.540,Entry,1,,,
11,0:07.550,Input,33,Off1A1,,
12,0:20.320,Input,1,On1A1,,
13,0:20.320,Exit,1,,1,
14,0:20.320,Entry,2,,,
15,0:20.325,Input,34,Off1A2,,
16,0:20.440,Input,2,On1A2,,
17,0:20.440,Exit,2,,2,
18,0:20.440,Entry,1,,,
19,0:20.455,Input,33,Off1A1,,
20,0:35.045,Input,1,On1A1,,
21,0:35.045,Exit,1,,1,
22,0:35.045,Entry,2,,,
23,0:35.050,Input,34,Off1A2,,
24,0:35.560,Input,2,On1A2,,
25,0:35.560,Exit,2,,2,
26,0:35.560,Entry,1,,,
27,0:35.575,Input,33,Off1A1,,
28,0:54.360,Input,1,On1A1,,
29,0:54.360,Exit,1,,1,
30,0:54.360,Entry,2,,,
31,0:54.365,Input,34,Off1A2,,
32,0:54.755,Input,2,On1A2,,
33,0:54.755,Exit,2,,2,
34,0:54.755,Entry,1,,,
35,0:54.770,Input,33,Off1A1,,
36,2:14.790,Input,1,On1A1,,
37,2:14.790,Exit,1,,1,
38,2:14.790,Entry,2,,,
39,2:14.795,Input,34,Off1A2,,
40,2:16.460,Input,2,On1A2,,
41,2:16.460,Exit,2,,2,
42,2:16.460,Entry,1,,,
43,2:16.475,Input,33,Off1A1,,
44,2:16.500,Input,1,On1A1,,
45,2:16.500,Exit,1,,1,
46,2:16.500,Entry,2,,,
47,2:16.505,Input,34,Off1A2,,
48,2:16.630,Input,2,On1A2,,
49,2:16.630,Exit,2,,2,
50,2:16.630,Entry,1,,,
51,2:16.645,Input,33,Off1A1,,
52,2:17.040,Input,1,On1A1,,
53,2:17.040,Exit,1,,1,
54,2:17.040,Entry,2,,,
55,2:17.045,Input,34,Off1A2,,
56,2:21.030,Input,2,On1A2,,
57,2:21.030,Exit,2,,2,
58,2:21.030,Entry,1,,,
59,2:21.045,Input,33,Off1A1,,
60,5:00.005,Exit,1,,Time,
61,5:00.005,Finish,,,,
