,Subject,,36-35,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:42:30.049,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:10.615,Input,1,On1A1,,
5,0:10.615,Exit,1,,1,
6,0:10.615,Entry,2,,,
7,0:10.620,Input,34,Off1A2,,
8,0:10.805,Input,2,On1A2,,
9,0:10.805,Exit,2,,2,
10,0:10.805,Entry,1,,,
11,0:10.820,Input,33,Off1A1,,
12,3:14.475,Input,1,On1A1,,
13,3:14.475,Exit,1,,1,
14,3:14.475,Entry,2,,,
15,3:14.480,Input,34,Off1A2,,
16,3:15.190,Input,2,On1A2,,
17,3:15.190,Exit,2,,2,
18,3:15.190,Entry,1,,,
19,3:15.200,Input,33,Off1A1,,
20,3:26.070,Input,1,On1A1,,
21,3:26.070,Exit,1,,1,
22,3:26.070,Entry,2,,,
23,3:26.075,Input,34,Off1A2,,
24,3:26.155,Input,2,On1A2,,
25,3:26.155,Exit,2,,2,
26,3:26.155,Entry,1,,,
27,3:26.165,Input,33,Off1A1,,
28,5:00.005,Exit,1,,Time,
29,5:00.005,Finish,,,,
