,Subject,,8-62,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:05:05.809,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:39.460,Input,1,On1A1,,
5,0:39.460,Exit,1,,1,
6,0:39.460,Entry,2,,,
7,0:39.465,Input,34,Off1A2,,
8,0:39.555,Input,2,On1A2,,
9,0:39.555,Exit,2,,2,
10,0:39.555,Entry,1,,,
11,0:39.570,Input,33,Off1A1,,
12,0:49.240,Input,1,On1A1,,
13,0:49.240,Exit,1,,1,
14,0:49.240,Entry,2,,,
15,0:49.245,Input,34,Off1A2,,
16,1:29.705,Input,2,On1A2,,
17,1:29.705,Exit,2,,2,
18,1:29.705,Entry,1,,,
19,1:29.720,Input,33,Off1A1,,
20,5:00.005,Exit,1,,Time,
21,5:00.005,Finish,,,,
