,Subject,,19-198,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,02:24:56.441,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.325,Input,2,On1A2,,
5,0:05.760,Input,1,On1A1,,
6,0:05.760,Exit,1,,1,
7,0:05.760,Entry,2,,,
8,0:05.765,Input,34,Off1A2,,
9,0:08.435,Input,2,On1A2,,
10,0:08.435,Exit,2,,2,
11,0:08.435,Entry,1,,,
12,0:08.445,Input,33,Off1A1,,
13,0:54.920,Input,1,On1A1,,
14,0:54.920,Exit,1,,1,
15,0:54.920,Entry,2,,,
16,0:54.925,Input,34,Off1A2,,
17,0:57.090,Input,2,On1A2,,
18,0:57.090,Exit,2,,2,
19,0:57.090,Entry,1,,,
20,0:57.105,Input,33,Off1A1,,
21,4:00.125,Input,1,On1A1,,
22,4:00.125,Exit,1,,1,
23,4:00.125,Entry,2,,,
24,4:00.130,Input,34,Off1A2,,
25,4:00.235,Input,2,On1A2,,
26,4:00.235,Exit,2,,2,
27,4:00.235,Entry,1,,,
28,4:00.250,Input,33,Off1A1,,
29,5:00.005,Exit,1,,Time,
30,5:00.005,Finish,,,,
