,Subject,,22-156,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,02:43:46.452,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:09.145,Input,1,On1A1,,
5,0:09.145,Exit,1,,1,
6,0:09.145,Entry,2,,,
7,0:09.150,Input,34,Off1A2,,
8,0:09.310,Input,2,On1A2,,
9,0:09.310,Exit,2,,2,
10,0:09.310,Entry,1,,,
11,0:09.320,Input,33,Off1A1,,
12,0:29.380,Input,1,On1A1,,
13,0:29.380,Exit,1,,1,
14,0:29.380,Entry,2,,,
15,0:29.385,Input,34,Off1A2,,
16,0:29.520,Input,2,On1A2,,
17,0:29.520,Exit,2,,2,
18,0:29.520,Entry,1,,,
19,0:29.535,Input,33,Off1A1,,
20,0:58.170,Input,1,On1A1,,
21,0:58.170,Exit,1,,1,
22,0:58.170,Entry,2,,,
23,0:58.175,Input,34,Off1A2,,
24,0:59.135,Input,2,On1A2,,
25,0:59.135,Exit,2,,2,
26,0:59.135,Entry,1,,,
27,0:59.150,Input,33,Off1A1,,
28,1:50.420,Input,1,On1A1,,
29,1:50.420,Exit,1,,1,
30,1:50.420,Entry,2,,,
31,1:50.425,Input,34,Off1A2,,
32,1:50.845,Input,2,On1A2,,
33,1:50.845,Exit,2,,2,
34,1:50.845,Entry,1,,,
35,1:50.860,Input,33,Off1A1,,
36,5:00.005,Exit,1,,Time,
37,5:00.005,Finish,,,,
