,Subject,,13-93,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:36:27.662,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:15.025,Input,1,On1A1,,
5,0:15.025,Exit,1,,1,
6,0:15.025,Entry,2,,,
7,0:15.030,Input,34,Off1A2,,
8,0:15.410,Input,2,On1A2,,
9,0:15.410,Exit,2,,2,
10,0:15.410,Entry,1,,,
11,0:15.420,Input,33,Off1A1,,
12,0:18.865,Input,1,On1A1,,
13,0:18.865,Exit,1,,1,
14,0:18.865,Entry,2,,,
15,0:18.870,Input,34,Off1A2,,
16,0:18.945,Input,2,On1A2,,
17,0:18.945,Exit,2,,2,
18,0:18.945,Entry,1,,,
19,0:18.960,Input,33,Off1A1,,
20,1:17.540,Input,1,On1A1,,
21,1:17.540,Exit,1,,1,
22,1:17.540,Entry,2,,,
23,1:17.545,Input,34,Off1A2,,
24,1:17.625,Input,2,On1A2,,
25,1:17.625,Exit,2,,2,
26,1:17.625,Entry,1,,,
27,1:17.640,Input,33,Off1A1,,
28,1:21.435,Input,1,On1A1,,
29,1:21.435,Exit,1,,1,
30,1:21.435,Entry,2,,,
31,1:21.440,Input,34,Off1A2,,
32,1:22.080,Input,2,On1A2,,
33,1:22.080,Exit,2,,2,
34,1:22.080,Entry,1,,,
35,1:22.090,Input,33,Off1A1,,
36,1:25.255,Input,1,On1A1,,
37,1:25.255,Exit,1,,1,
38,1:25.255,Entry,2,,,
39,1:25.260,Input,34,Off1A2,,
40,1:26.945,Input,2,On1A2,,
41,1:26.945,Exit,2,,2,
42,1:26.945,Entry,1,,,
43,1:26.955,Input,33,Off1A1,,
44,5:00.005,Exit,1,,Time,
45,5:00.005,Finish,,,,
