,Subject,,6-38,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,22:52:36.089,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:28.870,Input,1,On1A1,,
5,0:28.870,Exit,1,,1,
6,0:28.870,Entry,2,,,
7,0:28.875,Input,34,Off1A2,,
8,0:29.535,Input,2,On1A2,,
9,0:29.535,Exit,2,,2,
10,0:29.535,Entry,1,,,
11,0:29.550,Input,33,Off1A1,,
12,0:29.615,Input,1,On1A1,,
13,0:29.615,Exit,1,,1,
14,0:29.615,Entry,2,,,
15,0:29.620,Input,34,Off1A2,,
16,0:50.190,Input,2,On1A2,,
17,0:50.190,Exit,2,,2,
18,0:50.190,Entry,1,,,
19,0:50.205,Input,33,Off1A1,,
20,5:00.005,Exit,1,,Time,
21,5:00.005,Finish,,,,
