,Subject,,31-177,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,04:01:36.889,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:08.840,Input,1,On1A1,,
5,0:08.840,Exit,1,,1,
6,0:08.840,Entry,2,,,
7,0:08.845,Input,34,Off1A2,,
8,0:09.250,Input,2,On1A2,,
9,0:09.250,Exit,2,,2,
10,0:09.250,Entry,1,,,
11,0:09.260,Input,33,Off1A1,,
12,0:19.490,Input,1,On1A1,,
13,0:19.490,Exit,1,,1,
14,0:19.490,Entry,2,,,
15,0:19.495,Input,34,Off1A2,,
16,0:26.520,Input,2,On1A2,,
17,0:26.520,Exit,2,,2,
18,0:26.520,Entry,1,,,
19,0:26.535,Input,33,Off1A1,,
20,4:13.630,Input,1,On1A1,,
21,4:13.630,Exit,1,,1,
22,4:13.630,Entry,2,,,
23,4:13.635,Input,34,Off1A2,,
24,4:14.025,Input,2,On1A2,,
25,4:14.025,Exit,2,,2,
26,4:14.025,Entry,1,,,
27,4:14.040,Input,33,Off1A1,,
28,4:15.195,Input,1,On1A1,,
29,4:15.195,Exit,1,,1,
30,4:15.195,Entry,2,,,
31,4:15.200,Input,34,Off1A2,,
32,4:15.435,Input,2,On1A2,,
33,4:15.435,Exit,2,,2,
34,4:15.435,Entry,1,,,
35,4:15.450,Input,33,Off1A1,,
36,5:00.005,Exit,1,,Time,
37,5:00.005,Finish,,,,
