,Subject,,4-104,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,22:33:16.533,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:20.780,Input,1,On1A1,,
5,0:20.780,Exit,1,,1,
6,0:20.780,Entry,2,,,
7,0:20.785,Input,34,Off1A2,,
8,0:22.110,Input,2,On1A2,,
9,0:22.110,Exit,2,,2,
10,0:22.110,Entry,1,,,
11,0:22.125,Input,33,Off1A1,,
12,0:58.560,Input,1,On1A1,,
13,0:58.560,Exit,1,,1,
14,0:58.560,Entry,2,,,
15,0:58.565,Input,34,Off1A2,,
16,0:59.750,Input,2,On1A2,,
17,0:59.750,Exit,2,,2,
18,0:59.750,Entry,1,,,
19,0:59.760,Input,33,Off1A1,,
20,5:00.005,Exit,1,,Time,
21,5:00.005,Finish,,,,
