,Subject,,9-17,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:11:13.741,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:21.455,Input,1,On1A1,,
5,0:21.455,Exit,1,,1,
6,0:21.455,Entry,2,,,
7,0:21.460,Input,34,Off1A2,,
8,0:21.700,Input,2,On1A2,,
9,0:21.700,Exit,2,,2,
10,0:21.700,Entry,1,,,
11,0:21.715,Input,33,Off1A1,,
12,0:28.185,Input,1,On1A1,,
13,0:28.185,Exit,1,,1,
14,0:28.185,Entry,2,,,
15,0:28.190,Input,34,Off1A2,,
16,0:28.305,Input,2,On1A2,,
17,0:28.305,Exit,2,,2,
18,0:28.305,Entry,1,,,
19,0:28.315,Input,33,Off1A1,,
20,0:40.520,Input,1,On1A1,,
21,0:40.520,Exit,1,,1,
22,0:40.520,Entry,2,,,
23,0:40.525,Input,34,Off1A2,,
24,0:40.650,Input,2,On1A2,,
25,0:40.650,Exit,2,,2,
26,0:40.650,Entry,1,,,
27,0:40.660,Input,33,Off1A1,,
28,0:49.790,Input,1,On1A1,,
29,0:49.790,Exit,1,,1,
30,0:49.790,Entry,2,,,
31,0:49.795,Input,34,Off1A2,,
32,0:50.030,Input,2,On1A2,,
33,0:50.030,Exit,2,,2,
34,0:50.030,Entry,1,,,
35,0:50.040,Input,33,Off1A1,,
36,1:11.215,Input,1,On1A1,,
37,1:11.215,Exit,1,,1,
38,1:11.215,Entry,2,,,
39,1:11.220,Input,34,Off1A2,,
40,1:11.320,Input,2,On1A2,,
41,1:11.320,Exit,2,,2,
42,1:11.320,Entry,1,,,
43,1:11.335,Input,33,Off1A1,,
44,1:52.225,Input,1,On1A1,,
45,1:52.225,Exit,1,,1,
46,1:52.225,Entry,2,,,
47,1:52.230,Input,34,Off1A2,,
48,1:52.275,Input,2,On1A2,,
49,1:52.275,Exit,2,,2,
50,1:52.275,Entry,1,,,
51,1:52.285,Input,33,Off1A1,,
52,2:17.515,Input,1,On1A1,,
53,2:17.515,Exit,1,,1,
54,2:17.515,Entry,2,,,
55,2:17.520,Input,34,Off1A2,,
56,2:17.570,Input,2,On1A2,,
57,2:17.570,Exit,2,,2,
58,2:17.570,Entry,1,,,
59,2:17.580,Input,33,Off1A1,,
60,3:03.155,Input,1,On1A1,,
61,3:03.155,Exit,1,,1,
62,3:03.155,Entry,2,,,
63,3:03.160,Input,34,Off1A2,,
64,3:04.600,Input,2,On1A2,,
65,3:04.600,Exit,2,,2,
66,3:04.600,Entry,1,,,
67,3:04.615,Input,33,Off1A1,,
68,4:27.440,Input,1,On1A1,,
69,4:27.440,Exit,1,,1,
70,4:27.440,Entry,2,,,
71,4:27.445,Input,34,Off1A2,,
72,4:27.520,Input,2,On1A2,,
73,4:27.520,Exit,2,,2,
74,4:27.520,Entry,1,,,
75,4:27.535,Input,33,Off1A1,,
76,5:00.005,Exit,1,,Time,
77,5:00.005,Finish,,,,
