,Subject,,23-154,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,02:56:46.596,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:00.325,Input,2,On1A2,,
5,0:00.335,Input,33,Off1A1,,
6,0:20.005,Input,1,On1A1,,
7,0:20.005,Exit,1,,1,
8,0:20.005,Entry,2,,,
9,0:20.010,Input,34,Off1A2,,
10,0:20.890,Input,2,On1A2,,
11,0:20.890,Exit,2,,2,
12,0:20.890,Entry,1,,,
13,0:20.900,Input,33,Off1A1,,
14,2:20.065,Input,1,On1A1,,
15,2:20.065,Exit,1,,1,
16,2:20.065,Entry,2,,,
17,2:20.070,Input,34,Off1A2,,
18,2:20.965,Input,2,On1A2,,
19,2:20.965,Exit,2,,2,
20,2:20.965,Entry,1,,,
21,2:20.975,Input,33,Off1A1,,
22,5:00.005,Exit,1,,Time,
23,5:00.005,Finish,,,,
