,Subject,,12-76,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:30:23.121,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:24.240,Input,1,On1A1,,
5,0:24.240,Exit,1,,1,
6,0:24.240,Entry,2,,,
7,0:24.245,Input,34,Off1A2,,
8,0:24.380,Input,2,On1A2,,
9,0:24.380,Exit,2,,2,
10,0:24.380,Entry,1,,,
11,0:24.395,Input,33,Off1A1,,
12,0:39.440,Input,1,On1A1,,
13,0:39.440,Exit,1,,1,
14,0:39.440,Entry,2,,,
15,0:39.445,Input,34,Off1A2,,
16,0:39.530,Input,2,On1A2,,
17,0:39.530,Exit,2,,2,
18,0:39.530,Entry,1,,,
19,0:39.540,Input,33,Off1A1,,
20,1:13.240,Input,1,On1A1,,
21,1:13.240,Exit,1,,1,
22,1:13.240,Entry,2,,,
23,1:13.245,Input,34,Off1A2,,
24,1:13.315,Input,2,On1A2,,
25,1:13.315,Exit,2,,2,
26,1:13.315,Entry,1,,,
27,1:13.330,Input,33,Off1A1,,
28,1:18.830,Input,1,On1A1,,
29,1:18.830,Exit,1,,1,
30,1:18.830,Entry,2,,,
31,1:18.835,Input,34,Off1A2,,
32,1:19.015,Input,2,On1A2,,
33,1:19.015,Exit,2,,2,
34,1:19.015,Entry,1,,,
35,1:19.025,Input,33,Off1A1,,
36,2:45.125,Input,1,On1A1,,
37,2:45.125,Exit,1,,1,
38,2:45.125,Entry,2,,,
39,2:45.130,Input,34,Off1A2,,
40,2:45.185,Input,2,On1A2,,
41,2:45.185,Exit,2,,2,
42,2:45.185,Entry,1,,,
43,2:45.195,Input,33,Off1A1,,
44,5:00.005,Exit,1,,Time,
45,5:00.005,Finish,,,,
