,Subject,,15-105,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/27,,,
,Time,,23:55:07.513,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:06.780,Input,1,On1A1,,
5,0:06.780,Exit,1,,1,
6,0:06.780,Entry,2,,,
7,0:06.785,Input,34,Off1A2,,
8,0:09.480,Input,2,On1A2,,
9,0:09.480,Exit,2,,2,
10,0:09.480,Entry,1,,,
11,0:09.495,Input,33,Off1A1,,
12,1:08.655,Input,1,On1A1,,
13,1:08.655,Exit,1,,1,
14,1:08.655,Entry,2,,,
15,1:08.660,Input,34,Off1A2,,
16,1:08.770,Input,2,On1A2,,
17,1:08.770,Exit,2,,2,
18,1:08.770,Entry,1,,,
19,1:08.780,Input,33,Off1A1,,
20,3:10.150,Input,1,On1A1,,
21,3:10.150,Exit,1,,1,
22,3:10.150,Entry,2,,,
23,3:10.155,Input,34,Off1A2,,
24,3:10.415,Input,2,On1A2,,
25,3:10.415,Exit,2,,2,
26,3:10.415,Entry,1,,,
27,3:10.430,Input,33,Off1A1,,
28,5:00.005,Exit,1,,Time,
29,5:00.005,Finish,,,,
