,Subject,,37-40,Clock,5,
,Protocol,,5mintest,Time Warp,1x,
,Type,,Master,,,
,Channel,,0,,,
,Master,,,,,
,Date,,2019/6/28,,,
,Time,,02:50:06.408,,,
0,0:00.000,Start,,,,
1,0:00.000,Entry,0,Ready,,
2,0:00.005,Exit,0,Ready,Time,
3,0:00.005,Entry,1,,,
4,0:24.700,Input,1,On1A1,,
5,0:24.700,Exit,1,,1,
6,0:24.700,Entry,2,,,
7,0:24.705,Input,34,Off1A2,,
8,0:26.445,Input,2,On1A2,,
9,0:26.445,Exit,2,,2,
10,0:26.445,Entry,1,,,
11,0:26.455,Input,33,Off1A1,,
12,1:56.105,Input,1,On1A1,,
13,1:56.105,Exit,1,,1,
14,1:56.105,Entry,2,,,
15,1:56.110,Input,34,Off1A2,,
16,2:04.475,Input,2,On1A2,,
17,2:04.475,Exit,2,,2,
18,2:04.475,Entry,1,,,
19,2:04.485,Input,33,Off1A1,,
20,5:00.005,Exit,1,,Time,
21,5:00.005,Finish,,,,
